"CÃ³digo Completo";"Familia";"Referencia";"VersiÃ³n";"Color";"Nombre SAP";"Nombre Final ES";"Nombre Final EN";"Mueble";"DesignaciÃ³n";"LÃ­nea Comercial";"Medida Comercial";"Ancho (cm)";"Fondo (cm)";"Alto (cm)";"Peso (kg)";"Canto Puertas";"RH";"Armado";"Marca Propia"
"VBAN05-0003-000-0100";"VBAN05";"0003";"000";"0100";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS BLANCO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0003-000-0392";"VBAN05";"0003";"000";"0392";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS WENGUE";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0003-000-0437";"VBAN05";"0003";"000";"0437";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS SODER/MALI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0003-000-0439";"VBAN05";"0003";"000";"0439";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS MITTE/TAMBO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0003-000-0442";"VBAN05";"0003";"000";"0442";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS GRACIA/SIKUANI";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0003-000-0447";"VBAN05";"0003";"000";"0447";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS CARBONO/BAUDO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0003-000-0457";"VBAN05";"0003";"000";"0457";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS COCUY";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0003-000-0458";"VBAN05";"0003";"000";"0458";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS TRIBECA";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0003-000-0467";"VBAN05";"0003";"000";"0467";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS CINZA COBALTO";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
"VBAN05-0003-000-0493";"VBAN05";"0003";"000";"0493";"MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS AUSTRAL";"MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM";"BASIC ESSENTIAL WALL MOUNTED VANITY 19INX17IN WITH HANDLES 2MM EDGE BAND";"BASICO";"ELEVADO";"ESSENTIAL";"48X43";"47,4";"42,4";"48";"10";"CANTO 2 MM";"NA";"NO";"NA"
