"CÃ³digo","Nombre SAP","Nombre Final ES","Nombre Final EN"
"VBAN05-0003-000-0493","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS AUSTRAL","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0003-000-1345","MUEBLE BASICO ELEVADO LVM 48X43 CON MANIJAS VOLCANICO AMAZONAS","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 48X43 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 19INX17IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0100","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS BLANCO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0368","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS TABACO CHIC","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0371","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS ARENA","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0387","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS CHANTILLI","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0388","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS CAPUCCINO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0392","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS WENGUE","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0437","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS SODER/MALI","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
"VBAN05-0009-000-0439","MUEBLE BASICO ELEVADO LVM 63X48 CON MANIJAS MITTE/TAMBO","MUEBLE ELEVADO BASICO ESSENTIAL PARA LAVAMANOS 63X48 CON MANIJAS CANTO 2 MM","BASIC ESSENTIAL 25INX19IN WALL MOUNTED VANITY WITH HANDLES 2MM EDGE BAND"
