file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,conflict_reference_ids,conflict_file_base_names,conflict_group_code,action,notes
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 48X38 sin manijas.svg,Mueble elevado Básico LVM 48X38 sin manijas,ELEVADO,Básico,48X38,NA,NA,NA,3,3cfd4665-0903-4f7e-bf75-f469580aea69,BAN05,0121,c5d53b8b-2004-490e-a56f-c6bf852072a6,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/9f8e6c9e-fd34-4436-adf4-07e7bccf5a66.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 48X38 sin manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 48X43 con manijas.svg,Mueble elevado Básico LVM 48X43 con manijas,ELEVADO,Básico,48X43,CON MANIJAS,NA,NA,3,af4ab244-ea47-4c98-b9e3-b28ae6ac5cf9,BAN05,0079,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=64472198-48ef-426c-997c-014cf6c2b9bb; updated_refs=3; overwritten_refs=3; skipped_refs=0; hash=feb6d9d7fbd7a93a4af8ec7933f73733806291d298180a948b615c154e7aaac8
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 48x43 sin manijas.svg,Mueble elevado Básico LVM 48x43 sin manijas,ELEVADO,Básico,48X43,NA,NA,NA,5,7f2a924f-9dac-47f1-9260-f64dee3bf4b2,BAN05,0120,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=2cf00d09-4a88-4b7b-8ffe-8556baa2b19f; updated_refs=5; overwritten_refs=5; skipped_refs=0; hash=8ca84c9e5b75e4369ebad50067ed502bc8ae7df18b85b9a087712cb325bf9c7d
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 63X48 con manijas.svg,Mueble elevado Básico LVM 63X48 con manijas,ELEVADO,Básico,63X48,CON MANIJAS,NA,NA,3,5a557701-f0e3-4141-9c6c-fb24058b2c8d,BAN05,0010,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=876fdde1-5a45-40ab-a085-7d7084532c99; updated_refs=3; overwritten_refs=3; skipped_refs=0; hash=d13bbd2b68b7b1c33aea22849858ed68890d085eaff0dfdf392aaa27bda615c7
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 63X48 puerta shaker.svg,Mueble elevado Básico LVM 63X48 puerta shaker,ELEVADO,Básico,63X48,NA,NA,PUERTA SHAKER,1,1b108bc5-092b-4383-b125-81a15716ab51,BAN05,0131,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=da24e325-8626-4b25-b10a-62251f17f3ee; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=e97c60e516a9c2b1a372fc245593811079d53d18f6d95869cf3491d24e1d8a0a
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 63X48 sin manijas.svg,Mueble elevado Básico LVM 63X48 sin manijas,ELEVADO,Básico,63X48,NA,NA,NA,4,dd4511b3-d6b9-4df7-9d91-44084b39fca8,BAN05,0123,457472f0-cf49-48af-8e4c-837f0210f480,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/0b73e769-447d-46f7-9e58-b1590b17de16.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 63X48 sin manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 79x48 con manijas.svg,Mueble elevado Básico LVM 79x48 con manijas,ELEVADO,Básico,79X48,CON MANIJAS,NA,NA,1,120d4b24-8836-4376-961c-c408fc52a6ed,BAN05,0032,07a6b3bc-6d11-4ddf-a7c0-b2c5ead52c29,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/e469b382-6ae2-464e-a904-9ae7ea9601fe.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 79x48 con manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 79X48 sin manijas.svg,Mueble elevado Básico LVM 79X48 sin manijas,ELEVADO,Básico,79X48,NA,NA,NA,4,c3f1e8ba-d468-4614-b464-8cda3eb401b8,BAN05,0107,234e5203-8287-4792-aa33-25aa42843d39,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/e59d6d06-af4f-44a1-8e59-55f4702e1948.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 79X48 sin manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Calder LVM 48X43 sin manijas.svg,Mueble elevado Calder LVM 48X43 sin manijas,ELEVADO,Calder,48X43,NA,NA,NA,2,3a26e977-7862-4d2a-b6e6-d726b74bcefd,BAN05,0139,9799b921-488c-45e2-877a-321808fda4c7,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/0bdd47ba-faa4-4dbd-ab0e-5ad7a1a19ace.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Calder LVM 48X43 sin manijas.svg'"
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Eurocaribe LVM 44.5X43.5CM sin manijas.svg,Mueble elevado Eurocaribe LVM 44.5X43.5CM sin manijas,ELEVADO,Eurocaribe,44.5X43.5,NA,NA,NA,1,8130f2c3-52d3-43c5-8284-7e95fd85b1de,BAN05,0137,c0689873-787a-47cc-9240-9a9b178fa5bc,https://nbifmxggfusipomspoly.supabase.co/storage/v1/object/public/assets/assets/34e793d9-ec1d-4881-8089-2a18e9e1875e.svg,,,,ERROR,"EPERM: operation not permitted, open 'C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Eurocaribe LVM 44.5X43.5CM sin manijas.svg'"
