2381;2381;2016-10-07 00:00:00.000;0;20;10887;0;113;BAN05-Muebles Lavam;CBAN05-0005-000-0368;MUEBLE PICASSO ELEVADO LVM 48X43 TABACO CHIC;PN800049527-01;INVAL S A;MP-01;UN;75.000000;93370.000000;$;0.000000;96656.390000;0.000000;0.000000;3286.390000;7249229.250000;0.000000;Y;96656.390000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2242;2242;2016-05-24 00:00:00.000;5;20;10053;0;113;BAN05-Muebles Lavam;CBAN05-0005-000-0371;MUEBLE PICASSO ELEVADO LVM 48X43 ARENA;PN800049527-01;INVAL S A;MP-01;UN;1.000000;93370.000000;$;0.000000;96329.590000;0.000000;0.000000;2959.590000;96329.590000;0.000000;Y;96329.590000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2151;2151;2016-03-03 00:00:00.000;5;20;9496;2;113;BAN05-Muebles Lavam;CBAN05-0005-000-0395;MUEBLE PICASSO ELEVADO LVM 48X43 LATTE NUEZ;PN800049527-01;INVAL S A;MP-01;UN;50.000000;93370.000000;$;0.000000;96728.600000;0.000000;0.000000;3358.600000;4836430.000000;0.000000;Y;96728.600000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2196;2196;2016-04-06 00:00:00.000;7;20;9733;0;113;BAN05-Muebles Lavam;CBAN05-0005-000-0397;MUEBLE PICASSO ELEVADO LVM 48X43 NUEZ;PN800049527-01;INVAL S A;MP-01;UN;1.000000;93370.000000;$;0.000000;95741.920000;0.000000;0.000000;2371.920000;95741.920000;0.000000;Y;95741.920000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
1474;1474;2014-09-09 00:00:00.000;1;20;4861;0;113;BAN05-Muebles Lavam;CBAN05-0005-000-0400;MUEBLE PICASSO ELEVADO LVM 48X43 MACANA-ROBLE;PN800049527-01;INVAL S A;MP-01;UN;4.000000;76960.000000;$;0.000000;80428.220000;0.000000;0.000000;3468.220000;321712.880000;0.000000;Y;80428.220000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2120;2120;2016-02-09 00:00:00.000;11;20;9329;0;113;BAN05-Muebles Lavam;CBAN05-0005-000-0405;MUEBLE PICASSO ELEVADO LVM 48X43 SODER;PN800049527-01;INVAL S A;MP-01;UN;1.000000;85660.000000;$;0.000000;88536.210000;0.000000;0.000000;2876.210000;88536.210000;0.000000;Y;88536.210000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
1511;1511;2014-10-15 00:00:00.000;0;20;5124;0;113;BAN05-Muebles Lavam;CBAN05-0006-000-0394;MUEBLE DA VINCI ELEVADO LVM 48X43 ROBLE;PN800049527-01;INVAL S A;MP-01;UN;5.000000;67000.000000;$;0.000000;69990.270000;0.000000;0.000000;2990.270000;349951.350000;0.000000;Y;69990.270000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2776;2776;2018-04-26 00:00:00.000;0;20;582;0;113;BAN05-Muebles Lavam;CBAN05-0007-000-0392;MUEBLE PISO LVM 48X43 WENGUE;PN800049527-01;INVAL S A;MP-01;UN;85.000000;79322.000000;$;0.000000;79438.500000;0.000000;0.000000;116.500000;6752272.500000;0.000000;Y;79438.500000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2427;2427;2016-11-18 00:00:00.000;0;20;11218;0;113;BAN05-Muebles Lavam;CBAN05-0008-000-0371;RH MUEBLE BASICO VESSEL 60X50 ARENA;PN800049527-01;INVAL S A;MP-01;UN;113.000000;92410.000000;$;0.000000;95538.790000;0.000000;0.000000;3128.790000;10795883.270000;0.000000;Y;95538.790000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
2444;2444;2016-12-12 00:00:00.000;0;20;11388;0;113;BAN05-Muebles Lavam;CBAN05-0008-000-0372;RH MUEBLE BASICO VESSEL 60X50 SALVAJE;PN800049527-01;INVAL S A;MP-01;UN;50.000000;92410.000000;$;0.000000;102804.840000;0.000000;0.000000;10394.840000;5140242.000000;0.000000;Y;102804.840000;COP;SAP_LANDED_COST_PRICE_AT_WAREHOUSE;LANDED_COST
