file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,action,notes
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Básico LVM 79X48 sin manijas.svg,Mueble elevado Básico LVM 79X48 sin manijas,ELEVADO,Básico,79X48,NA,NA,NA,4,c3f1e8ba-d468-4614-b464-8cda3eb401b8,BAN05,0107,,,WOULD_APPLY,mode=special_label_base_accessory_filter; would_update_refs=4; would_overwrite_refs=4; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Calder LVM 48X43 sin manijas.svg,Mueble elevado Calder LVM 48X43 sin manijas,ELEVADO,Calder,48X43,NA,NA,NA,2,3a26e977-7862-4d2a-b6e6-d726b74bcefd,BAN05,0139,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=2; would_overwrite_refs=2; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Da Vinci LVM 48X43.svg,Mueble elevado Da Vinci LVM 48X43,ELEVADO,DA VINCI,48X43,NA,NA,NA,0,,,,,,NO_MATCH,raw_parts=Mueble elevado Da Vinci LVM | 48X43 | 
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Eurocaribe LVM 44.5X43.5CM sin manijas.svg,Mueble elevado Eurocaribe LVM 44.5X43.5CM sin manijas,ELEVADO,Eurocaribe,44.5X43.5,NA,NA,NA,1,8130f2c3-52d3-43c5-8284-7e95fd85b1de,BAN05,0137,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=1; would_overwrite_refs=1; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Greco class LVM 124x48.svg,Mueble elevado Greco class LVM 124x48,ELEVADO,Greco,124X48,NA,CLASS,NA,3,0b06220d-55ff-4320-9061-92cffd44cf45,BAN12,0011,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Greco class LVM 63x48.svg,Mueble elevado Greco class LVM 63x48,ELEVADO,Greco,63X48,NA,CLASS,NA,3,600b69ac-6bbf-45d9-8350-4da825c4a035,BAN22,0005,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=3; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Greco class LVM 79x48.svg,Mueble elevado Greco class LVM 79x48,ELEVADO,Greco,79X48,NA,CLASS,NA,3,c0c0f060-25bf-4895-a954-3718ebf5fb4b,BAN22,0006,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=3; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Greco class LVM 94x48.svg,Mueble elevado Greco class LVM 94x48,ELEVADO,Greco,94X48,NA,CLASS,NA,2,930d2fb7-18b0-451b-a78b-a5be8c58e901,BAN22,0007,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=2; would_overwrite_refs=0; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Greco LVM 124X48.svg,Mueble elevado Greco LVM 124X48,ELEVADO,Greco,124X48,NA,NA,NA,3,0b06220d-55ff-4320-9061-92cffd44cf45,BAN12,0011,,,WOULD_APPLY,mode=special_label_base_single_accessory; would_update_refs=3; would_overwrite_refs=3; would_skip_refs=0
C:\Users\oswaldo.rivera\FIRPLAK SA\FIRPLAK - I+D - Documentos\Documentos técnicos productos\Proyecto IA - Documentacion automatica\Isometricos\Muebles VBAN\Mueble elevado Macao class  LVM 124X48.svg,Mueble elevado Macao class  LVM 124X48,ELEVADO,Macao,124X48,NA,CLASS,NA,4,fc2843f7-0852-4ccb-91ac-f6e336717adb,BAN12,0037,,,WOULD_APPLY,mode=extended_base_single_accessory; would_update_refs=4; would_overwrite_refs=0; would_skip_refs=0
