file_full_path,file_base_name,parsed_designation,parsed_product_name,parsed_commercial_measure,parsed_accessory_text,parsed_line,parsed_special_label,match_count,matched_reference_id,matched_family_code,matched_reference_code,existing_isometric_asset_id,existing_isometric_path,conflict_reference_ids,conflict_file_base_names,conflict_group_code,action,notes
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 48X43 con manijas.svg,Mueble elevado Básico LVM 48X43 con manijas,ELEVADO,Básico,48X43,CON MANIJAS,NA,NA,3,af4ab244-ea47-4c98-b9e3-b28ae6ac5cf9,BAN05,0079,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=64472198-48ef-426c-997c-014cf6c2b9bb; updated_refs=3; overwritten_refs=3; skipped_refs=0; hash=feb6d9d7fbd7a93a4af8ec7933f73733806291d298180a948b615c154e7aaac8
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 48x43 sin manijas.svg,Mueble elevado Básico LVM 48x43 sin manijas,ELEVADO,Básico,48X43,NA,NA,NA,5,9644e7ec-b8e0-400d-94cc-632a4cf72ec9,BAN05,0122,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=2cf00d09-4a88-4b7b-8ffe-8556baa2b19f; updated_refs=5; overwritten_refs=5; skipped_refs=0; hash=8ca84c9e5b75e4369ebad50067ed502bc8ae7df18b85b9a087712cb325bf9c7d
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 63X48 con manijas.svg,Mueble elevado Básico LVM 63X48 con manijas,ELEVADO,Básico,63X48,CON MANIJAS,NA,NA,3,5a557701-f0e3-4141-9c6c-fb24058b2c8d,BAN05,0010,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=876fdde1-5a45-40ab-a085-7d7084532c99; updated_refs=3; overwritten_refs=3; skipped_refs=0; hash=d13bbd2b68b7b1c33aea22849858ed68890d085eaff0dfdf392aaa27bda615c7
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 63X48 puerta shaker.svg,Mueble elevado Básico LVM 63X48 puerta shaker,ELEVADO,Básico,63X48,NA,NA,PUERTA SHAKER,1,1b108bc5-092b-4383-b125-81a15716ab51,BAN05,0131,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=da24e325-8626-4b25-b10a-62251f17f3ee; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=e97c60e516a9c2b1a372fc245593811079d53d18f6d95869cf3491d24e1d8a0a
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 63X48 sin manijas.svg,Mueble elevado Básico LVM 63X48 sin manijas,ELEVADO,Básico,63X48,NA,NA,NA,4,dd4511b3-d6b9-4df7-9d91-44084b39fca8,BAN05,0123,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=62dfb545-1378-4d0b-9d80-2cbb3d8601bc; updated_refs=4; overwritten_refs=4; skipped_refs=0; hash=3bdd34d336012146383042adcce8f99479b8849c7e549cbc577ec49c5b8d657c
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 79x48 con manijas.svg,Mueble elevado Básico LVM 79x48 con manijas,ELEVADO,Básico,79X48,CON MANIJAS,NA,NA,1,120d4b24-8836-4376-961c-c408fc52a6ed,BAN05,0032,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=8b518104-4b1c-48fd-abef-ca969af1fdb4; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=5ec8f47d5446b6f6370ff66d3f435bbf79f15f00080b3f24dd9522d23d8e7721
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Básico LVM 79X48 sin manijas.svg,Mueble elevado Básico LVM 79X48 sin manijas,ELEVADO,Básico,79X48,NA,NA,NA,4,c3f1e8ba-d468-4614-b464-8cda3eb401b8,BAN05,0107,,,,,,APPLIED,mode=special_label_base_accessory_filter; asset_id=e806c360-7273-4116-bdb4-f74cf0b7c7fc; updated_refs=4; overwritten_refs=4; skipped_refs=0; hash=7effac55a9a088678376fb255f88cda205a1329a53b1cbacc40771e9f9312405
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Calder LVM 48X43 sin manijas.svg,Mueble elevado Calder LVM 48X43 sin manijas,ELEVADO,Calder,48X43,NA,NA,NA,2,3a26e977-7862-4d2a-b6e6-d726b74bcefd,BAN05,0139,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=86dae777-d8a5-42f6-8ebc-0020a87af5de; updated_refs=2; overwritten_refs=2; skipped_refs=0; hash=91a8955408936c4300c65eb788d1e27e8f24e6d0adc118934b005c464a986e15
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Eurocaribe LVM 44.5X43.5CM sin manijas.svg,Mueble elevado Eurocaribe LVM 44.5X43.5CM sin manijas,ELEVADO,Eurocaribe,44.5X43.5,NA,NA,NA,1,8130f2c3-52d3-43c5-8284-7e95fd85b1de,BAN05,0137,,,,,,APPLIED,mode=special_label_base_single_accessory; asset_id=e6954858-7860-4a24-92ce-5da595da6a82; updated_refs=1; overwritten_refs=1; skipped_refs=0; hash=e15a6c77023353c26b641d07edfdaab901eeb69805cd623e45e8c2e1beff3fa6
C:\Users\oswaldo.rivera\Desktop\Muebles VBAN\Mueble elevado Greco class LVM 124x48.svg,Mueble elevado Greco class LVM 124x48,ELEVADO,Greco,124X48,NA,CLASS,NA,3,0b06220d-55ff-4320-9061-92cffd44cf45,BAN12,0011,,,,,,APPLIED,mode=extended_base_single_accessory; asset_id=e04edf20-f2c0-480c-94f4-bccf10811e0b; updated_refs=3; overwritten_refs=3; skipped_refs=0; hash=0ba8653fb292ae986aa830b722d0a21e6d992795da859f42c99fe24763686ccf
