row_number,validation_status,validation_errors,validation_warnings,source_observation,import_action,existing_in_supabase,exclusion_reason,SKU_COMPLETE,FAMILY_CODE,REF_CODE,VERSION_CODE,COLOR_CODE,SAP_DESCRIPTION,PRODUCT_TYPE,DESIGNATION,PRODUCT_NAME,WIDTH_CM,DEPTH_CM,HEIGHT_CM,WEIGHT_KG,UNIT_OF_MEASURE,REF_ATTR_rh,REF_ATTR_carb2,REF_ATTR_bisagras,REF_ATTR_canto_puertas,REF_ATTR_accessory_text,REF_ATTR_armado_con_lvm,REF_ATTR_door_color_text,REF_ATTR_product_type,REF_ATTR_assembled_flag,VERSION_ATTR_isometric_path,VERSION_ATTR_isometric_asset_id,VERSION_ATTR_private_label_flag,VERSION_ATTR_private_label_client_id,VERSION_ATTR_private_label_client_name,VERSION_ATTR_accessory_text,RH,CARB2,PUR,RH_SOURCE,CARB2_SOURCE,PUR_SOURCE,RH_VALIDATION,CARB2_VALIDATION,PUR_VALIDATION,NAME_ES_CURRENT_OR_GENERATED,NAME_EN_CURRENT_OR_GENERATED,NAME_ES_REQUIRES_REVIEW,NAME_EN_REQUIRES_REVIEW,NAME_GENERATION_NOTES,ISOMETRIC_SOURCE_PATH,ISOMETRIC_TARGET_PATH,ISOMETRIC_ASSET_ID,ISOMETRIC_STATUS,ISOMETRIC_NOTES,existing_family_id,existing_product_reference_id,existing_product_version_id,existing_color_id,matched_reference_base,matched_version,matched_color,create_family,create_reference,create_version,create_color,create_sku,reuse_existing_family,reuse_existing_reference,reuse_existing_version,reuse_existing_color
120,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0080-000-0100,BAN12,0080,000,0100,RH MUEBLE GRECO LVM 124X48 CANTO 1.5MM CIERRE OCULTO BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 1.5 MM,R OCULTO + RFE CIERRE LENTO,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,GRECO,,NO,SI,,,,,VINCULADO,,,f086ec5e-9b91-4783-956e-02f9573181af,2ee001c4-5175-4316-b19e-861faa135576,,0080,000,0100,,NO,NO,,NO,SI,SI,SI,SI
121,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0082-MRH-0100,BAN12,0082,MRH,0100,RH MUEBLE THALOS CLASS LVM 79X48 BLANCO,MUEBLE,,,,,,,UN,NA,NA,NA,CANTO 2 MM,RFE CIERRE LENTO,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,THALOS,,NO,SI,,,,,VINCULADO,,,7bd832b5-091f-42fc-8673-6eda4a65c6b6,d04c3e3d-bb1f-4ffd-b11b-c3e09822ea1a,,0082,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
122,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0083-000-0100,BAN12,0083,000,0100,RH MUEBLE MACAO CLASS LVM 48X43 CANTO 2MM CIERRE LENTO BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE CIERRE LENTO,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,MACAO,,NO,SI,,,,,VINCULADO,,,f8fdc0c1-1e61-4b8c-a61d-4318bc554d2e,4c504157-5667-4603-929d-bbea201fe89e,,0083,000,0100,,NO,NO,,NO,SI,SI,SI,SI
123,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0084-MRH-0100,BAN12,0084,MRH,0100,RH MUEBLE MACAO CLASS LVM 155X48 CANTO 2MM CIERRE LENTO BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE CIERRE LENTO,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,MACAO,,NO,SI,,,,,VINCULADO,,,4a643446-9a11-4fb3-9668-b17286ee10b3,9c044393-b7cb-4549-b4cd-35c78bc0841f,,0084,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
124,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0087-MRH-0100,BAN12,0087,MRH,0100,RH MUEBLE OTUS 63X48 CANTO 2MM RIEL FULL EXTENSION BLANCO,MUEBLE,,,,,,,UN,NA,NA,NA,CANTO 2 MM,RFE CIERRE LENTO,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,OTUS,,NO,SI,,,,,VINCULADO,,,c74c1a36-0e91-4ade-aa4e-782d61166bfe,20b2ce24-c7a7-4041-ae9c-5f2f9af057f3,,0087,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
125,EXISTENTE,,,,IGNORAR,SI,,VBAN12-0091-MRH-0100,BAN12,0091,MRH,0100,RH MUEBLE ZACURA ELEVADO 63X48 BLANCO,MUEBLE,,,,,,,UN,NA,NA,NA,CANTO 0.45 MM,RFE CIERRE LENTO,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,ZACURA,,NO,SI,,,,,VINCULADO,,,0b7955d2-f29c-469c-8c0d-a644a6fbf35e,9a16a3c9-2e10-41df-b7b6-32e746b4cb84,,0091,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
126,EXISTENTE,,,,IGNORAR,SI,,VBAN22-0021-MRH-0100,BAN22,0021,MRH,0100,RH MUEBLE MACAO CLASS LVM 63X48 CANTO 2MM CIERRE LENTO ARMADO C/SIENA BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE CIERRE LENTO,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,MACAO,,NO,SI,,,,,VINCULADO,,,b13f7e90-2954-49a7-8317-fafa426f19f4,423d255b-96eb-423c-87b0-80caee0ea5d8,,0021,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
127,EXISTENTE,,,,IGNORAR,SI,,VBAN22-0082-000-0100,BAN22,0082,000,0100,RH MUEBLE MACAO CLASS LVM 63X48 CANTO 2MM CIERRE LENTO ARMADO C/OSLO BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,RFE CIERRE LENTO,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,MACAO,,NO,SI,,,,,VINCULADO,,,0a22cc22-0ad4-4f23-ae60-ed9c9d2f7135,33dbf5f4-a69c-4566-952d-8e023c315883,,0082,000,0100,,NO,NO,,NO,SI,SI,SI,SI
128,EXISTENTE,,,,IGNORAR,SI,,VBAN23-0110-000-0100,BAN23,0110,000,0100,RH MUEBLE MONET ELEVADO LVM 63X48 ARMADO C/OSLO BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,MONET,,NO,SI,,,,,VINCULADO,,,6c68f441-5b4e-4134-9ef1-39ff0e00829a,500eb1f3-820e-4f03-b1f0-e01a3797938e,,0110,000,0100,,NO,NO,,NO,SI,SI,SI,SI
129,EXISTENTE,,,,IGNORAR,SI,,VBAN23-0112-MRH-0100,BAN23,0112,MRH,0100,RH MUEBLE MONET ELEVADO LVM 63X48 ARMADO C/SIENA BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,RFE,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,MONET,,NO,SI,,,,,VINCULADO,,,360b1d83-6eb2-491e-b965-7718522ccfe4,7437894b-6d64-4586-93c1-21548fc4bb0d,,0112,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
130,EXISTENTE,,,,IGNORAR,SI,,VBAN24-0022-000-0100,BAN24,0022,000,0100,RH MUEBLE BASICO ELEVADO LVM 48X38 ARMADO C/ LVM ECO BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,e9e3cd87-4d44-4890-afc0-bba1342d59b8,3feefa78-4287-492d-8eaf-5db65ca69264,,0022,000,0100,,NO,NO,,NO,SI,SI,SI,SI
131,EXISTENTE,,,,IGNORAR,SI,,VBAN24-0104-000-0100,BAN24,0104,000,0100,RH MUEBLE RAYO 48X38 ARMADO C/ LVM ECO BLANCO,MUEBLE,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,RAYO,,NO,SI,,,,,VINCULADO,,,920b7143-4186-47f9-b191-94afefaf7350,92b87234-ba6b-4db0-9c5c-6e20ab838892,,0104,000,0100,,NO,NO,,NO,SI,SI,SI,SI
132,EXISTENTE,,,,IGNORAR,SI,,VBAN24-0113-000-0100,BAN24,0113,000,0100,RH MUEBLE BASICO ELEVADO LVM 79X48 SIN MANIJAS ARMADO C/SIENA BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,SIN MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,21380493-cbaf-405a-bad2-9dd7c09155cd,92d6e5e5-8254-428c-92cd-7d15082df069,,0113,000,0100,,NO,NO,,NO,SI,SI,SI,SI
133,EXISTENTE,,,,IGNORAR,SI,,VBAN30-0001-MRH-0100,BAN30,0001,MRH,0100,RH MUEBLE AUXILIAR BASICO PISO PARA SANITARIO 60X21.5 BLANCO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,BASICO,,NO,SI,,,,,VINCULADO,,,a06a6448-119d-46ab-85fd-d4bd3a86495c,da6a2f36-7f41-474b-930e-984abf545f85,,0001,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
134,EXISTENTE,,,,IGNORAR,SI,,VBAN31-0001-MRH-0100,BAN31,0001,MRH,0100,RH TAPA LVM VESSEL 63X48 BLANCO,,,,,,,,UN,NA,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,VESSEL,,NO,SI,,,,,VINCULADO,,,6cf7bb72-0685-4908-85ba-7e680e894a69,aa36cec2-8ef1-4154-b83d-56a69661b74c,,0001,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
135,EXISTENTE,,,,IGNORAR,SI,,VBAN31-0002-MRH-0100,BAN31,0002,MRH,0100,RH TAPA LVM VESSEL 48X43 BLANCO,,,,,,,,UN,RH,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,VESSEL,,NO,SI,,,,,VINCULADO,,,2f5e892c-5413-4a27-a2ef-1896a9276c0c,1c9beabb-5079-49d4-b523-73d0f736c1dd,,0002,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
136,EXISTENTE,,,,IGNORAR,SI,,VBAN31-0003-MRH-0100,BAN31,0003,MRH,0100,RH TAPA LVM VESSEL 79X48 BLANCO,,,,,,,,UN,NA,NA,NA,CANTO 2 MM,NA,,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,VESSEL,,NO,SI,,,,,VINCULADO,,,30bb0756-9054-4095-b2d9-2497d6b80ef5,7f038b2d-1eab-408f-b76e-c875c6ef628f,,0003,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
137,PENDIENTE,,,,CREAR,NO,,VCOC01-0037-000-0100,COC01,0037,000,0100,RH MUEBLE INFERIOR COCINA 150CM 2 PUERTAS VIVE BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
138,EXISTENTE,,,,IGNORAR,SI,,VCOC01-0039-MRH-0100,COC01,0039,MRH,0100,RH MUEBLE SUPERIOR COCINA AMBAR 150CM PARA CAMPANA CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,RH,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,NA,NA,,,,,,,,,true,false,false,DESCRIPCION,,,,,,AMBAR,,NO,SI,,,,,VINCULADO,,,be98eead-258c-4ad8-bfa6-959f411e783e,736b20bd-79d7-4515-94a9-bdf371463374,,0039,MRH,0100,,NO,NO,,NO,SI,SI,SI,SI
139,PENDIENTE,,,,CREAR,NO,,VCOC01-0041-000-0100,COC01,0041,000,0100,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,false,false,,,,,,MUEBLE,,,,,,,,false,false,false,,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
