row_number,validation_status,validation_errors,validation_warnings,source_observation,import_action,existing_in_supabase,exclusion_reason,SKU_COMPLETE,FAMILY_CODE,REF_CODE,VERSION_CODE,COLOR_CODE,SAP_DESCRIPTION,PRODUCT_TYPE,DESIGNATION,PRODUCT_NAME,WIDTH_CM,DEPTH_CM,HEIGHT_CM,WEIGHT_KG,UNIT_OF_MEASURE,REF_ATTR_rh,REF_ATTR_carb2,REF_ATTR_bisagras,REF_ATTR_canto_puertas,REF_ATTR_accessory_text,REF_ATTR_armado_con_lvm,REF_ATTR_door_color_text,REF_ATTR_product_type,REF_ATTR_assembled_flag,VERSION_ATTR_isometric_path,VERSION_ATTR_isometric_asset_id,VERSION_ATTR_private_label_flag,VERSION_ATTR_private_label_client_id,VERSION_ATTR_private_label_client_name,VERSION_ATTR_accessory_text,RH,CARB2,PUR,RH_SOURCE,CARB2_SOURCE,PUR_SOURCE,RH_VALIDATION,CARB2_VALIDATION,PUR_VALIDATION,NAME_ES_CURRENT_OR_GENERATED,NAME_EN_CURRENT_OR_GENERATED,NAME_ES_REQUIRES_REVIEW,NAME_EN_REQUIRES_REVIEW,NAME_GENERATION_NOTES,ISOMETRIC_SOURCE_PATH,ISOMETRIC_TARGET_PATH,ISOMETRIC_ASSET_ID,ISOMETRIC_STATUS,ISOMETRIC_NOTES,existing_family_id,existing_product_reference_id,existing_product_version_id,existing_color_id,matched_reference_base,matched_version,matched_color,create_family,create_reference,create_version,create_color,create_sku,reuse_existing_family,reuse_existing_reference,reuse_existing_version,reuse_existing_color
202,PENDIENTE,,,,CREAR,NO,,VCOC01-0122-000-0323,COC01,0122,000,0323,MUEBLE INFERIOR COCINA AMBAR 150X60CM CANTO 2MM 1C 4P BLANCO RH/AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
203,PENDIENTE,,,,CREAR,NO,,VCOC01-0122-000-0324,COC01,0122,000,0324,MUEBLE INFERIOR COCINA AMBAR 150X60CM CANTO 2MM 1C 4P BLANCO RH/MITTE-TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
204,PENDIENTE,,,,CREAR,NO,,VCOC01-0123-000-0321,COC01,0123,000,0321,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO RH/SODER-MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
205,PENDIENTE,,,,CREAR,NO,,VCOC01-0123-000-0322,COC01,0123,000,0322,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO RH/NOLA-GRACIA,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
206,PENDIENTE,,,,CREAR,NO,,VCOC01-0123-000-0323,COC01,0123,000,0323,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO RH/AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
207,PENDIENTE,,,,CREAR,NO,,VCOC01-0123-000-0324,COC01,0123,000,0324,MUEBLE SUPERIOR COCINA AMBAR 180CM PARA CAMPANA CANTO 2MM BLANCO RH/MITTE-TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
208,PENDIENTE,,,,CREAR,NO,,VCOC01-0124-000-0321,COC01,0124,000,0321,MUEBLE INFERIOR COCINA AMBAR 180x55CM CANTO 2MM 1C 5P BLANCO RH/SODER-MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
209,PENDIENTE,,,,CREAR,NO,,VCOC01-0124-000-0322,COC01,0124,000,0322,MUEBLE INFERIOR COCINA AMBAR 180x55CM CANTO 2MM 1C 5P BLANCO RH/NOLA-GRACIA,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
210,PENDIENTE,,,,CREAR,NO,,VCOC01-0125-000-0321,COC01,0125,000,0321,MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO RH/SODER-MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
211,PENDIENTE,,,,CREAR,NO,,VCOC01-0125-000-0322,COC01,0125,000,0322,MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO RH/NOLA-GRACIA,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
212,PENDIENTE,,,,CREAR,NO,,VCOC01-0125-000-0323,COC01,0125,000,0323,MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO RH/AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
213,PENDIENTE,,,,CREAR,NO,,VCOC01-0125-000-0324,COC01,0125,000,0324,MUEBLE INFERIOR COCINA AMBAR 180x60CM CANTO 2MM 1C 5P BLANCO RH/MITTE-TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
214,PENDIENTE,,,,CREAR,NO,,VCOC01-0126-MRH-0100,COC01,0126,MRH,0100,RH MUEBLE SUPERIOR COCINA AGATA 180X60CM CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
215,PENDIENTE,,,,CREAR,NO,,VCOC01-0127-MRH-0100,COC01,0127,MRH,0100,RH MUEBLE INFERIOR COCINA AGATA 180X60CM CANTO 2MM 5P BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
216,EXISTENTE,,,,IGNORAR,SI,,VCOC01-0128-000-0321,COC01,0128,000,0321,MUEBLE INFERIOR COCINA 150CM 4 PUERTAS VIVE BLANCO RH/SODER-MALI,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,,MUEBLE,false,,,false,,NA,,true,false,false,DESCRIPCION,,,,,,VIVE,,NO,SI,,,,,VINCULADO,,,ae24f263-f3ac-46be-ba0d-b0f566bdd4c7,dfc6dac2-7df6-4a02-b858-fffc70e89bf3,,0128,000,0321,,NO,NO,,NO,SI,SI,SI,SI
217,EXISTENTE,,,,IGNORAR,SI,,VCOC01-0128-000-0322,COC01,0128,000,0322,MUEBLE INFERIOR COCINA 150CM 4 PUERTAS VIVE BLANCO RH/NOLA-GRACIA,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,,MUEBLE,false,,,false,,NA,,true,false,false,DESCRIPCION,,,,,,VIVE,,NO,SI,,,,,VINCULADO,,,ae24f263-f3ac-46be-ba0d-b0f566bdd4c7,dfc6dac2-7df6-4a02-b858-fffc70e89bf3,,0128,000,0322,,NO,NO,,NO,SI,SI,SI,SI
218,EXISTENTE,,,,IGNORAR,SI,,VCOC01-0128-000-0323,COC01,0128,000,0323,MUEBLE INFERIOR COCINA 150CM 4 PUERTAS VIVE BLANCO RH/AUSTRAL,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,,MUEBLE,false,,,false,,NA,,true,false,false,DESCRIPCION,,,,,,VIVE,,NO,SI,,,,,VINCULADO,,,ae24f263-f3ac-46be-ba0d-b0f566bdd4c7,dfc6dac2-7df6-4a02-b858-fffc70e89bf3,,0128,000,0323,,NO,NO,,NO,SI,SI,SI,SI
219,EXISTENTE,,,,IGNORAR,SI,,VCOC01-0128-000-0324,COC01,0128,000,0324,MUEBLE INFERIOR COCINA 150CM 4 PUERTAS VIVE BLANCO RH/MITTE-TAMBO,MUEBLE,,,,,,,UN,NA,NA,BISAGRAS CIERRE LENTO,CANTO 2 MM,CON MANIJAS,,,MUEBLE,false,,,false,,NA,,true,false,false,DESCRIPCION,,,,,,VIVE,,NO,SI,,,,,VINCULADO,,,ae24f263-f3ac-46be-ba0d-b0f566bdd4c7,dfc6dac2-7df6-4a02-b858-fffc70e89bf3,,0128,000,0324,,NO,NO,,NO,SI,SI,SI,SI
220,PENDIENTE,,,,CREAR,NO,,VCOC01-0129-MRH-0100,COC01,0129,MRH,0100,RH MUEBLE SUPERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
221,PENDIENTE,,,,CREAR,NO,,VCOC01-0130-MRH-0100,COC01,0130,MRH,0100,RH MUEBLE INFERIOR COCINA OBSI 150X55CM CANTO 2MM 4P BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
222,PENDIENTE,,,,CREAR,NO,,VCOC01-0131-MRH-0100,COC01,0131,MRH,0100,RH MUEBLE SUPERIOR COCINA GEOS RETAIL 210X60 BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
223,PENDIENTE,,,,CREAR,NO,,VCOC01-0132-MRH-0100,COC01,0132,MRH,0100,RH MUEBLE INFERIOR COCINA GEOS RETAIL 210X60 BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
224,PENDIENTE,,,,CREAR,NO,,VCOC01-0133-000-0321,COC01,0133,000,0321,MUEBLE SUPERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO RH-SODER/MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
225,PENDIENTE,,,,CREAR,NO,,VCOC01-0133-000-0322,COC01,0133,000,0322,MUEBLE SUPERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO RH-GRACIA/SIKUANI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
226,PENDIENTE,,,,CREAR,NO,,VCOC01-0133-000-0323,COC01,0133,000,0323,MUEBLE SUPERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO RH-AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
227,PENDIENTE,,,,CREAR,NO,,VCOC01-0133-000-0324,COC01,0133,000,0324,MUEBLE SUPERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO RH-MITTE/TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
228,PENDIENTE,,,,CREAR,NO,,VCOC01-0133-000-0326,COC01,0133,000,0326,MUEBLE SUPERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO RH-FLORMORADO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
229,PENDIENTE,,,,CREAR,NO,,VCOC01-0134-000-0321,COC01,0134,000,0321,MUEBLE INFERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO RH-SODER/MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
230,PENDIENTE,,,,CREAR,NO,,VCOC01-0134-000-0322,COC01,0134,000,0322,MUEBLE INFERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO RH-GRACIA/SIKUANI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
231,PENDIENTE,,,,CREAR,NO,,VCOC01-0134-000-0323,COC01,0134,000,0323,MUEBLE INFERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO RH-AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
232,PENDIENTE,,,,CREAR,NO,,VCOC01-0134-000-0324,COC01,0134,000,0324,MUEBLE INFERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO RH-MITTE/TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
233,PENDIENTE,,,,CREAR,NO,,VCOC01-0134-000-0326,COC01,0134,000,0326,MUEBLE INFERIOR COCINA OBSI 150X55CM CANTO 2MM BLANCO RH-FLORMORADO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
234,PENDIENTE,,,,CREAR,NO,,VCOC01-0135-000-0322,COC01,0135,000,0322,MUEBLE SUPERIOR COCINA GEOS RETAIL 210X60 BLANCO RH-GRACIA/SIKUANI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
235,PENDIENTE,,,,CREAR,NO,,VCOC01-0135-000-0323,COC01,0135,000,0323,MUEBLE SUPERIOR COCINA GEOS RETAIL 210X60 BLANCO RH-AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
236,PENDIENTE,,,,CREAR,NO,,VCOC01-0135-000-0324,COC01,0135,000,0324,MUEBLE SUPERIOR COCINA GEOS RETAIL 210X60 BLANCO RH-MITTE/TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
237,PENDIENTE,,,,CREAR,NO,,VCOC01-0136-000-0321,COC01,0136,000,0321,MUEBLE INFERIOR COCINA GEOS RETAIL 210X60 BLANCO RH-SODER/MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
238,PENDIENTE,,,,CREAR,NO,,VCOC01-0136-000-0322,COC01,0136,000,0322,MUEBLE INFERIOR COCINA GEOS RETAIL 210X60 BLANCO RH-GRACIA/SIKUANI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
239,PENDIENTE,,,,CREAR,NO,,VCOC01-0136-000-0323,COC01,0136,000,0323,MUEBLE INFERIOR COCINA GEOS RETAIL 210X60 BLANCO RH-AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
240,PENDIENTE,,,,CREAR,NO,,VCOC01-0136-000-0324,COC01,0136,000,0324,MUEBLE INFERIOR COCINA GEOS RETAIL 210X60 BLANCO RH-MITTE/TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
241,PENDIENTE,,,,CREAR,NO,,VCOC01-0137-MRH-0100,COC01,0137,MRH,0100,RH MUEBLE BARRA COCINA ZAFIRO TERRABONGA 140X60CM CANTO 2MM BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
242,PENDIENTE,,,,CREAR,NO,,VCOC01-0138-000-0321,COC01,0138,000,0321,MUEBLE SUPERIOR COCINA AGATA 180X60CM CANTO 2MM BLANCO RH-SODER/MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
243,PENDIENTE,,,,CREAR,NO,,VCOC01-0138-000-0322,COC01,0138,000,0322,MUEBLE SUPERIOR COCINA AGATA 180X60CM CANTO 2MM BLANCO RH-GRACIA/SIKUANI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
244,PENDIENTE,,,,CREAR,NO,,VCOC01-0138-000-0323,COC01,0138,000,0323,MUEBLE SUPERIOR COCINA AGATA 180X60CM CANTO 2MM BLANCO RH-AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
245,PENDIENTE,,,,CREAR,NO,,VCOC01-0138-000-0324,COC01,0138,000,0324,MUEBLE SUPERIOR COCINA AGATA 180X60CM CANTO 2MM BLANCO RH-MITTE/TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
246,PENDIENTE,,,,CREAR,NO,,VCOC01-0139-000-0321,COC01,0139,000,0321,MUEBLE INFERIOR COCINA AGATA 180X60CM CANTO 2MM 5P BLANCO RH-SODER/MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
247,PENDIENTE,,,,CREAR,NO,,VCOC01-0139-000-0322,COC01,0139,000,0322,MUEBLE INFERIOR COCINA AGATA 180X60CM CANTO 2MM 5P BLANCO RH-GRACIA/SIKUANI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
248,PENDIENTE,,,,CREAR,NO,,VCOC01-0139-000-0323,COC01,0139,000,0323,MUEBLE INFERIOR COCINA AGATA 180X60CM CANTO 2MM 5P BLANCO RH-AUSTRAL,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
249,PENDIENTE,,,,CREAR,NO,,VCOC01-0139-000-0324,COC01,0139,000,0324,MUEBLE INFERIOR COCINA AGATA 180X60CM CANTO 2MM 5P BLANCO RH-MITTE/TAMBO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
250,PENDIENTE,,,,CREAR,NO,,VCOC01-0140-MRH-0100,COC01,0140,MRH,0100,RH MBLE INF COCINA ZAFIRO TERRABONGA 180X60 BLANCO,,,,,,,,UN,true,false,,,,,,,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
251,PENDIENTE,,,,CREAR,NO,,VCOC01-0142-000-0321,COC01,0142,000,0321,MUEBLE INFERIOR COCINA ZAREL 180X60CM BLANCO RH/SODER-MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
252,PENDIENTE,,,,CREAR,NO,,VCOC01-0142-000-1332,COC01,0142,000,1332,MUEBLE INFERIOR COCINA ZAREL 180X60CM OLIVA/JAYKA-RH BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
253,PENDIENTE,,,,CREAR,NO,,VCOC01-0142-000-1351,COC01,0142,000,1351,MUEBLE INFERIOR COCINA ZAREL 180X60CM MARFIL/YALAA-RH BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
254,PENDIENTE,,,,CREAR,NO,,VCOC01-0142-000-1352,COC01,0142,000,1352,MUEBLE INFERIOR COCINA ZAREL 180X60CM GRIS/SUKTA-RH BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
255,PENDIENTE,,,,CREAR,NO,,VCOC01-0143-000-0321,COC01,0143,000,0321,MUEBLE SUPERIOR COCINA ZAREL 180X60CM BLANCO RH/SODER-MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
256,PENDIENTE,,,,CREAR,NO,,VCOC01-0143-000-1332,COC01,0143,000,1332,MUEBLE SUPERIOR COCINA ZAREL 180X60CM OLIVA/JAYKA-RH BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
257,PENDIENTE,,,,CREAR,NO,,VCOC01-0143-000-1351,COC01,0143,000,1351,MUEBLE SUPERIOR COCINA ZAREL 180X60CM MARFIL/YALAA-RH BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
258,PENDIENTE,,,,CREAR,NO,,VCOC01-0143-000-1352,COC01,0143,000,1352,MUEBLE SUPERIOR COCINA ZAREL 180X60CM GRIS/SUKTA-RH BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
259,PENDIENTE,,,,CREAR,NO,,VCOC01-0144-000-0321,COC01,0144,000,0321,MUEBLE INFERIOR COCINA ZAREL 150X60CM BLANCO RH/SODER-MALI,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
260,PENDIENTE,,,,CREAR,NO,,VCOC01-0144-000-1332,COC01,0144,000,1332,MUEBLE INFERIOR COCINA ZAREL 150X60CM OLIVA/JAYKA-RH BLANCO,MUEBLE,,,,,,,UN,true,false,,,,,,MUEBLE,,,,,,,,true,false,false,DESCRIPCION,,,,,,,,SI,SI,,,,,PENDIENTE,,,,,,,,,,SI,SI,,SI,PENDIENTE,NO,NO,SI
